date,value
2021-10-03,4860.02
2021-10-04,5474.14
2021-10-05,5568.38
2021-10-06,5598.34
2021-10-07,5569.33
2021-10-08,5571.42
2021-10-09,5571.42
2021-10-10,5571.42
2021-10-11,5495.73
2021-10-12,5476.95
2021-10-13,5505.68
2021-10-14,5559.99
2021-10-15,5575.60
2021-10-16,5575.60
2021-10-17,5575.60
2021-10-18,5717.68
2021-10-19,5769.75
2021-10-20,5763.07
2021-10-21,5786.52
2021-10-22,5615.39
2021-10-23,5615.39
2021-10-24,5615.39
2021-10-25,5655.12
2021-10-26,5533.81
2021-10-27,5500.48
2021-10-28,5584.97
2021-10-29,5623.04
2021-10-30,5623.04
2021-10-31,5623.04
2021-11-01,5669.09
2021-11-02,5643.85
2021-11-03,5723.89
2021-11-04,5823.82
2021-11-05,5908.54
2021-11-06,5908.54
2021-11-07,5908.54
2021-11-08,5862.84
2021-11-09,5871.75
2021-11-10,5730.05
2021-11-11,5726.15
2021-11-12,5909.07
2021-11-13,5909.07
2021-11-14,5909.07
2021-11-15,5998.45
2021-11-16,5941.81
2021-11-17,5920.51
2021-11-18,5975.45
2021-11-19,6042.64
2021-11-20,6042.64
2021-11-21,6042.64
2021-11-22,5936.07
2021-11-23,5895.89
2021-11-24,5940.87
2021-11-25,5940.87
2021-11-26,5806.64
2021-11-27,5806.64
2021-11-28,5806.64
2021-11-29,5895.12
2021-11-30,5787.30
2021-12-01,5742.15
2021-12-02,5736.07
2021-12-03,5972.83
2021-12-04,5972.83
2021-12-05,5972.83
2021-12-06,6142.04
2021-12-07,6260.46
2021-12-08,6365.09
2021-12-09,6333.61
2021-12-10,6311.49
2021-12-11,6311.49
2021-12-12,6311.49
2021-12-13,6346.97
2021-12-14,6360.44
2021-12-15,6513.55
2021-12-16,6373.84
2021-12-17,6370.73
2021-12-18,6370.73
2021-12-19,6370.73
2021-12-20,6226.36
2021-12-21,6380.93
2021-12-22,6337.59
2021-12-23,6402.68
2021-12-24,6402.68
2021-12-25,6402.68
2021-12-26,6402.68
2021-12-27,6535.45
2021-12-28,6546.44
2021-12-29,6526.99
2021-12-30,6539.89
2021-12-31,6410.28
2022-01-01,6410.28
2022-01-02,6410.28
2022-01-03,6480.50
2022-01-04,6508.57
2022-01-05,6581.92
2022-01-06,6847.11
2022-01-07,6828.15
2022-01-08,6828.15
2022-01-09,6828.15
2022-01-10,7255.04
2022-01-11,7402.90
2022-01-12,7386.57
2022-01-13,7227.55
2022-01-14,7321.70
2022-01-15,7321.70
2022-01-16,7321.70
2022-01-17,7321.70
2022-01-18,7394.49
2022-01-19,7375.31
2022-01-20,7348.34
2022-01-21,7270.93
2022-01-22,7270.93
2022-01-23,7270.93
2022-01-24,7493.69
2022-01-25,7366.66
2022-01-26,7266.44
2022-01-27,7278.32
2022-01-28,7502.16
2022-01-29,7502.16
2022-01-30,7502.16
2022-01-31,7782.40
2022-02-01,7906.76
2022-02-02,8053.44
2022-02-03,7188.83
2022-02-04,7772.29
2022-02-05,7772.29
2022-02-06,7772.29
2022-02-07,8262.79
2022-02-08,8539.89
2022-02-09,8837.44
2022-02-10,8695.20
2022-02-11,8539.85
2022-02-12,8539.85
2022-02-13,8539.85
2022-02-14,8527.56
2022-02-15,8637.14
2022-02-16,8553.13
2022-02-17,8412.10
2022-02-18,8433.66
2022-02-19,8433.66
2022-02-20,8433.66
2022-02-21,8433.66
2022-02-22,8586.91
2022-02-23,8737.50
2022-02-24,9197.22
2022-02-25,9330.01
2022-02-26,9330.01
2022-02-27,9330.01
2022-02-28,9492.60
2022-03-01,9422.24
2022-03-02,9798.00
2022-03-03,9554.28
2022-03-04,9514.68
2022-03-05,9514.68
2022-03-06,9514.68
2022-03-07,9274.18
2022-03-08,9350.17
2022-03-09,9718.97
2022-03-10,9726.07
2022-03-11,9438.87
2022-03-12,9438.87
2022-03-13,9438.87
2022-03-14,9330.98
2022-03-15,9721.92
2022-03-16,10246.58
2022-03-17,10473.38
2022-03-18,10861.30
2022-03-19,10861.30
2022-03-20,10861.30
2022-03-21,10683.66
2022-03-22,10938.96
2022-03-23,10789.63
2022-03-24,11014.65
2022-03-25,11098.71
2022-03-26,11098.71
2022-03-27,11098.71
2022-03-28,11235.76
2022-03-29,11472.58
2022-03-30,11343.09
2022-03-31,11083.85
2022-04-01,11183.91
2022-04-02,11183.91
2022-04-03,11183.91
2022-04-04,11594.16
2022-04-05,11428.47
2022-04-06,11021.44
2022-04-07,10993.08
2022-04-08,10899.41
2022-04-09,10899.41
2022-04-10,10899.41
2022-04-11,10626.01
2022-04-12,10533.08
2022-04-13,10741.80
2022-04-14,10492.07
2022-04-15,10492.07
2022-04-16,10492.07
2022-04-17,10492.07
2022-04-18,10524.77
2022-04-19,10854.04
2022-04-20,10176.37
2022-04-21,9633.36
2022-04-22,9575.60
2022-04-23,9575.60
2022-04-24,9575.60
2022-04-25,9726.28
2022-04-26,9382.04
2022-04-27,9136.54
2022-04-28,10341.26
2022-04-29,9783.23
2022-04-30,9783.23
2022-05-01,9783.23
2022-05-02,10222.17
2022-05-03,10245.83
2022-05-04,10686.55
2022-05-05,10257.16
2022-05-06,10046.68
2022-05-07,10046.68
2022-05-08,10046.68
2022-05-09,9656.07
2022-05-10,9709.89
2022-05-11,9322.45
2022-05-12,9421.64
2022-05-13,9858.25
2022-05-14,9858.25
2022-05-15,9858.25
2022-05-16,9885.32
2022-05-17,10080.86
2022-05-18,9543.53
2022-05-19,9541.53
2022-05-20,9697.72
2022-05-21,9697.72
2022-05-22,9697.72
2022-05-23,9807.71
2022-05-24,9313.89
2022-05-25,9458.54
2022-05-26,9810.81
2022-05-27,10073.56
2022-05-28,10073.56
2022-05-29,10073.56
2022-05-30,10073.56
2022-05-31,10123.60
2022-06-01,9959.52
2022-06-02,10445.79
2022-06-03,10083.55
2022-06-04,10083.55
2022-06-05,10083.55
2022-06-06,10260.46
2022-06-07,10293.55
2022-06-08,10284.75
2022-06-09,9727.93
2022-06-10,9263.45
2022-06-11,9263.45
2022-06-12,9263.45
2022-06-13,8772.29
2022-06-14,8720.74
2022-06-15,9057.35
2022-06-16,8633.68
2022-06-17,8798.90
2022-06-18,8798.90
2022-06-19,8798.90
2022-06-20,8798.90
2022-06-21,8801.66
2022-06-22,8770.22
2022-06-23,8946.31
2022-06-24,9486.75
2022-06-25,9486.75
2022-06-26,9486.75
2022-06-27,9374.58
2022-06-28,8901.89
2022-06-29,9036.71
2022-06-30,8861.39
2022-07-01,8892.68
2022-07-02,8892.68
2022-07-03,8892.68
2022-07-04,8892.68
2022-07-05,9363.38
2022-07-06,9431.02
2022-07-07,9596.96
2022-07-08,9525.84
2022-07-09,9525.84
2022-07-10,9525.84
2022-07-11,9162.41
2022-07-12,9127.73
2022-07-13,9138.13
2022-07-14,8929.91
2022-07-15,9266.13
2022-07-16,9266.13
2022-07-17,9266.13
2022-07-18,9340.77
2022-07-19,9786.05
2022-07-20,10147.58
2022-07-21,10212.58
2022-07-22,9770.25
2022-07-23,9770.25
2022-07-24,9770.25
2022-07-25,9658.20
2022-07-26,9349.25
2022-07-27,9988.75
2022-07-28,9701.75
2022-07-29,9902.05
2022-07-30,9902.05
2022-07-31,9902.05
2022-08-01,9948.99
2022-08-02,9948.04
2022-08-03,10458.50
2022-08-04,10569.38
2022-08-05,10391.63
2022-08-06,10391.63
2022-08-07,10391.63
2022-08-08,10485.40
2022-08-09,10372.13
2022-08-10,10878.22
2022-08-11,10805.46
2022-08-12,11007.81
2022-08-13,11007.81
2022-08-14,11007.81
2022-08-15,11021.92
2022-08-16,11004.02
2022-08-17,10747.33
2022-08-18,10753.41
2022-08-19,10468.50
2022-08-20,10468.50
2022-08-21,10468.50
2022-08-22,10227.91
2022-08-23,10157.84
2022-08-24,10325.59
2022-08-25,10646.52
2022-08-26,10178.16
2022-08-27,10178.16
2022-08-28,10178.16
2022-08-29,10212.56
2022-08-30,10104.93
2022-08-31,10295.35
2022-09-01,10410.78
2022-09-02,10185.04
2022-09-03,10185.04
2022-09-04,10185.04
2022-09-05,10185.04
2022-09-06,10088.47
2022-09-07,10275.91
2022-09-08,10347.96
2022-09-09,10697.31
2022-09-10,10697.31
2022-09-11,10697.31
2022-09-12,10888.16
2022-09-13,10326.04
2022-09-14,10328.08
2022-09-15,10176.86
2022-09-16,9975.12
2022-09-17,9975.12
2022-09-18,9975.12
2022-09-19,10178.99
2022-09-20,10052.63
2022-09-21,9953.59
2022-09-22,9934.38
2022-09-23,9749.85
2022-09-24,9749.85
2022-09-25,9749.85
2022-09-26,9584.77
2022-09-27,9769.65
2022-09-28,10217.36
2022-09-29,9886.69
2022-09-30,9772.99
2022-10-01,9772.99
2022-10-02,9772.99
2022-10-03,9997.47
2022-10-04,10259.30
2022-10-05,10211.56
2022-10-06,10208.90
2022-10-07,9794.44
2022-10-08,9794.44
2022-10-09,9794.44
2022-10-10,9723.88
2022-10-11,9460.47
2022-10-12,9443.60
2022-10-13,9703.02
2022-10-14,9381.83
2022-10-15,9381.83
2022-10-16,9381.83
2022-10-17,9900.79
2022-10-18,9914.37
2022-10-19,9884.34
2022-10-20,9824.92
2022-10-21,9844.99
2022-10-22,9844.99
2022-10-23,9844.99
2022-10-24,9855.22
2022-10-25,10279.23
2022-10-26,9907.00
2022-10-27,8414.11
2022-10-28,8374.74
2022-10-29,8374.74
2022-10-30,8374.74
2022-10-31,8094.46
2022-11-01,8014.84
2022-11-02,7641.14
2022-11-03,7439.09
2022-11-04,7582.45
2022-11-05,7582.45
2022-11-06,7582.45
2022-11-07,7881.20
2022-11-08,8257.90
2022-11-09,8353.56
2022-11-10,9206.31
2022-11-11,9420.67
2022-11-12,9420.67
2022-11-13,9420.67
2022-11-14,9401.85
2022-11-15,9583.94
2022-11-16,9356.09
2022-11-17,9210.81
2022-11-18,9201.41
2022-11-19,9201.41
2022-11-20,9201.41
2022-11-21,8999.60
2022-11-22,9099.77
2022-11-23,9184.18
2022-11-24,9184.18
2022-11-25,9110.77
2022-11-26,9110.77
2022-11-27,9110.77
2022-11-28,8981.42
2022-11-29,8944.75
2022-11-30,9507.39
2022-12-01,9591.47
2022-12-02,9651.82
2022-12-03,9651.82
2022-12-04,9651.82
2022-12-05,9773.39
2022-12-06,9291.24
2022-12-07,9279.27
2022-12-08,9360.64
2022-12-09,9337.36
2022-12-10,9337.36
2022-12-11,9337.36
2022-12-12,9326.65
2022-12-13,9644.87
2022-12-14,9722.73
2022-12-15,9314.14
2022-12-16,9430.81
2022-12-17,9430.81
2022-12-18,9430.81
2022-12-19,9115.14
2022-12-20,9243.41
2022-12-21,9410.14
2022-12-22,9358.20
2022-12-23,9461.32
2022-12-24,9461.32
2022-12-25,9461.32
2022-12-26,9461.32
2022-12-27,9321.73
2022-12-28,9206.53
2022-12-29,9542.47
2022-12-30,9546.54
2022-12-31,9546.54
2023-01-01,9546.54
2023-01-02,9546.54
2023-01-03,9839.19
2023-01-04,9962.59
2023-01-05,9850.37
2023-01-06,10075.24
2023-01-07,10075.24
2023-01-08,10075.24
2023-01-09,10097.79
2023-01-10,10327.99
2023-01-11,10637.45
2023-01-12,10820.50
2023-01-13,10911.33
2023-01-14,10911.33
2023-01-15,10911.33
2023-01-16,10911.33
2023-01-17,10785.87
2023-01-18,10629.87
2023-01-19,10866.59
2023-01-20,11210.88
2023-01-21,11210.88
2023-01-22,11210.88
2023-01-23,11427.46
2023-01-24,11357.42
2023-01-25,11254.93
2023-01-26,11623.31
2023-01-27,11937.79
2023-01-28,11937.79
2023-01-29,11937.79
2023-01-30,35405.06
2023-01-31,35922.56
2023-02-01,36906.77
2023-02-02,39928.28
2023-02-03,38685.18
2023-02-04,38685.18
2023-02-05,38685.18
2023-02-06,37898.37
2023-02-07,38648.84
2023-02-08,37608.40
2023-02-09,36714.46
2023-02-10,36963.56
2023-02-11,36963.56
2023-02-12,36963.56
2023-02-13,37725.70
2023-02-14,37734.11
2023-02-15,38338.16
2023-02-16,37475.49
2023-02-17,36796.19
2023-02-18,36796.19
2023-02-19,36796.19
2023-02-20,36796.19
2023-02-21,36058.42
2023-02-22,36514.96
2023-02-23,37002.28
2023-02-24,36453.62
2023-02-25,36453.62
2023-02-26,36453.62
2023-02-27,36946.32
2023-02-28,37510.59
2023-03-01,36918.88
2023-03-02,37037.99
2023-03-03,38019.84
2023-03-04,38019.84
2023-03-05,38019.84
2023-03-06,37233.04
2023-03-07,37117.68
2023-03-08,37140.39
2023-03-09,36280.50
2023-03-10,35596.18
2023-03-11,35596.18
2023-03-12,35596.18
2023-03-13,35440.70
2023-03-14,36580.60
2023-03-15,36882.64
2023-03-16,38132.34
2023-03-17,37475.10
2023-03-18,37475.10
2023-03-19,37475.10
2023-03-20,37855.56
2023-03-21,38908.69
2023-03-22,38480.25
2023-03-23,38853.67
2023-03-24,38974.30
2023-03-25,38974.30
2023-03-26,38974.30
2023-03-27,38795.24
2023-03-28,38515.29
2023-03-29,39064.04
2023-03-30,39384.17
2023-03-31,40455.95
2023-04-01,40455.95
2023-04-02,40455.95
2023-04-03,40313.95
2023-04-04,40405.28
2023-04-05,39599.98
2023-04-06,40187.94
2023-04-07,40187.94
2023-04-08,40187.94
2023-04-09,40187.94
2023-04-10,39952.71
2023-04-11,39825.44
2023-04-12,39326.78
2023-04-13,40283.19
2023-04-14,40308.33
2023-04-15,40308.33
2023-04-16,40308.33
2023-04-17,40189.82
2023-04-18,40034.82
2023-04-19,39759.34
2023-04-20,39432.57
2023-04-21,39440.15
2023-04-22,39440.15
2023-04-23,39440.15
2023-04-24,39231.41
2023-04-25,38338.98
2023-04-26,38144.97
2023-04-27,39770.59
2023-04-28,39195.15
2023-04-29,39195.15
2023-04-30,39195.15
2023-05-01,39183.64
2023-05-02,38601.11
2023-05-03,38214.67
2023-05-04,38026.18
2023-05-05,38820.55
2023-05-06,38820.55
2023-05-07,38820.55
2023-05-08,39100.53
2023-05-09,38563.75
2023-05-10,38398.13
2023-05-11,39086.06
2023-05-12,38723.35
2023-05-13,38723.35
2023-05-14,38723.35
2023-05-15,39323.15
2023-05-16,38964.30
2023-05-17,39729.24
2023-05-18,39984.03
2023-05-19,39723.49
2023-05-20,39723.49
2023-05-21,39723.49
